ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
AAPL,APPLE INC,320193,0001193125-14-383437,10-K,2014.0,FY,2014-09-30,2014-10-27,182795000000.0,52503000000.0,39510000000.0,6.45,59713000000.0,,0.21614376760852322,0.28722339232473537,
AAPL,APPLE INC,320193,0001193125-15-023697,10-Q,2015.0,Q1,2014-12-31,2015-01-28,74599000000.0,24246000000.0,18024000000.0,3.06,33722000000.0,3217000000.0,0.24161181785278624,0.3250177616321935,30505000000.0
AAPL,APPLE INC,320193,0001193125-15-153166,10-Q,2015.0,Q2,2015-03-31,2015-04-28,58010000000.0,18278000000.0,13569000000.0,2.33,52803000000.0,5586000000.0,0.2339079469057059,0.3150836062747802,47217000000.0
AAPL,APPLE INC,320193,0001193125-15-259935,10-Q,2015.0,Q3,2015-06-30,2015-07-22,49605000000.0,14083000000.0,10677000000.0,1.85,67791000000.0,7629000000.0,0.21524039915331117,0.2839028323757686,60162000000.0
AAPL,APPLE INC,320193,0001193125-15-356351,10-K,2015.0,FY,2015-09-30,2015-10-28,233715000000.0,71230000000.0,53394000000.0,9.22,81266000000.0,11247000000.0,0.22845773698735639,0.3047729071732666,70019000000.0
AAPL,APPLE INC,320193,0001193125-16-439878,10-Q,2016.0,Q1,2015-12-31,2016-01-27,75872000000.0,24171000000.0,18361000000.0,3.28,27463000000.0,3612000000.0,0.24199968367777308,0.31857602277520036,23851000000.0
AAPL,APPLE INC,320193,0001193125-16-559625,10-Q,2016.0,Q2,2016-03-31,2016-04-27,50557000000.0,13987000000.0,10516000000.0,1.9,39064000000.0,5948000000.0,0.2080028482702692,0.27665802955080404,33116000000.0
AAPL,APPLE INC,320193,0001628280-16-017809,10-Q,2016.0,Q3,2016-06-30,2016-07-27,42358000000.0,10105000000.0,7796000000.0,1.42,49698000000.0,8757000000.0,0.18405023844374144,0.23856178289815383,40941000000.0
AAPL,APPLE INC,320193,0001628280-16-020309,10-K,2016.0,FY,2016-09-30,2016-10-26,215639000000.0,60024000000.0,45687000000.0,8.31,65824000000.0,12734000000.0,0.211867983064288,0.27835410106706115,53090000000.0
AAPL,APPLE INC,320193,0001628280-17-000717,10-Q,2017.0,Q1,2016-12-31,2017-02-01,78351000000.0,23359000000.0,17891000000.0,3.36,27056000000.0,3334000000.0,0.22834424576584855,0.2981327615473957,23722000000.0
AAPL,APPLE INC,320193,0001628280-17-004790,10-Q,2017.0,Q2,2017-03-31,2017-05-03,52896000000.0,14097000000.0,11029000000.0,2.1,39579000000.0,6309000000.0,0.20850347852389595,0.2665040834845735,33270000000.0
AAPL,APPLE INC,320193,0000320193-17-000009,10-Q,2017.0,Q3,2017-06-30,2017-08-02,45408000000.0,10768000000.0,8717000000.0,1.67,47942000000.0,8586000000.0,0.19197057787174066,0.23713883016208598,39356000000.0
AAPL,APPLE INC,320193,0000320193-17-000070,10-K,2017.0,FY,2017-09-30,2017-11-03,229234000000.0,61344000000.0,48351000000.0,9.21,63598000000.0,12451000000.0,0.21092420845075338,0.2676042820872994,51147000000.0
AAPL,APPLE INC,320193,0000320193-18-000007,10-Q,2018.0,Q1,2017-12-31,2018-02-02,88293000000.0,26274000000.0,20065000000.0,3.89,28293000000.0,2810000000.0,0.22725470875380835,0.29757738439060855,25483000000.0
AAPL,APPLE INC,320193,0000320193-18-000070,10-Q,2018.0,Q2,2018-03-31,2018-05-02,61137000000.0,15894000000.0,13822000000.0,2.73,43423000000.0,7005000000.0,0.22608240509020724,0.2599735021345503,36418000000.0
AAPL,APPLE INC,320193,0000320193-18-000100,10-Q,2018.0,Q3,2018-06-30,2018-08-01,53265000000.0,12612000000.0,11519000000.0,2.34,57911000000.0,10272000000.0,0.21625833098657654,0.23677837228949591,47639000000.0
AAPL,APPLE INC,320193,0000320193-18-000145,10-K,2018.0,FY,2018-09-30,2018-11-05,265595000000.0,70898000000.0,59531000000.0,11.91,77434000000.0,13313000000.0,0.22414202074587247,0.26694026619477024,64121000000.0
AAPL,APPLE INC,320193,0000320193-19-000010,10-Q,2019.0,Q1,2018-12-31,2019-01-30,84310000000.0,23346000000.0,19965000000.0,4.18,26690000000.0,3355000000.0,0.23680464950776894,0.27690665401494485,23335000000.0
AAPL,APPLE INC,320193,0000320193-19-000066,10-Q,2019.0,Q2,2019-03-31,2019-05-01,58015000000.0,13415000000.0,11561000000.0,2.46,37845000000.0,5718000000.0,0.19927604929759546,0.2312333017323106,32127000000.0
AAPL,APPLE INC,320193,0000320193-19-000076,10-Q,2019.0,Q3,2019-06-30,2019-07-31,53809000000.0,11544000000.0,10044000000.0,2.18,49481000000.0,7718000000.0,0.18666022412607555,0.2145366016837332,41763000000.0
AAPL,APPLE INC,320193,0000320193-19-000119,10-K,2019.0,FY,2019-09-30,2019-10-31,260174000000.0,63930000000.0,55256000000.0,11.89,69391000000.0,10495000000.0,0.21238094505984456,0.24572017188496928,58896000000.0
AAPL,APPLE INC,320193,0000320193-20-000010,10-Q,2020.0,Q1,2019-12-31,2020-01-29,91819000000.0,25569000000.0,22236000000.0,4.99,30516000000.0,2107000000.0,0.2421720994565395,0.2784717759940753,28409000000.0
AAPL,APPLE INC,320193,0000320193-20-000052,10-Q,2020.0,Q2,2020-03-31,2020-05-01,58313000000.0,12853000000.0,11249000000.0,2.55,43827000000.0,3960000000.0,0.1929072419529093,0.22041397287054346,39867000000.0
AAPL,APPLE INC,320193,0000320193-20-000062,10-Q,2020.0,Q3,2020-06-30,2020-07-31,59685000000.0,13091000000.0,11253000000.0,2.58,60098000000.0,5525000000.0,0.18853983412917819,0.21933484124989527,54573000000.0
AAPL,APPLE INC,320193,0000320193-20-000096,10-K,2020.0,FY,2020-09-30,2020-10-30,274515000000.0,66288000000.0,57411000000.0,3.28,80674000000.0,7309000000.0,0.20913611278072236,0.24147314354406862,73365000000.0
